Command,Description,Related Query Command,Report,
Z1TONyszz,"Tone setting: y=0 bass, 1 treble.  s=sign: +/-, zz=value.  Example: Z1TON0-01 represents a bass cut by 1 dB.",Z1TONy? returns Z1TONyszz,yes,
T1TUP,Tune up,,,
T1TDN,Tune down,,,
T1KUP,Seek up,,,
T1KDN,Seek down,,,
T1PUP,Select the next available preset,,,
T1PDN,Select the previous available preset,,,
T1FMSxxx.xx,Tuner FM setting: 87.50-108.00. Picks nearest valid frequency.,T1FMS? Returns T1FMSxxx.xx,yes,
ZxTBS?,Query tuner status,"returns ZxTBSy where
x=1 Main Zone
x=2 Zone2
y=0 Not on Tuner
y=1 Tuner on FM",,
T1PSAxx,Assign the current station to preset xx (01-30),T1PSA? returns T1PSAyy (yy=00-30). 00=current station not assigned to a preset,yes,
T1PSLxx,Tuner preset xx select (xx=01-30),,,
T1PRMxx,Remove the preset xx. xx=00-30. 00=current station is removed from all presets,,,
ZxSIMyyyy,Simulate IR command. yyyy=IR command as listed at the bottom of this document.,,,
Z1MSGxyyyy,"Display custom on-screen status message for duration of display timeout: x=row 0-1, yyyy=message (number of characters and rows available depends on model)",,,
Z1SMDx,"Setup menu display: 0=close, 1=open, t=toggle",Z1SMD? returns Z1SMDx (x=0-1),yes,
Z1VIR?,"Query video input resolution: 0=no input, 1=other, 2=1080p60, 3=1080p50, 4=1080p24, 5=1080i60, 6=1080i50, 7=720p60, 8=720p50, 9=576p50, 10=576i50, 11=480p60, 12=480i60, 13=3D, 14=4k",returns Z1VIRxx,yes,
Z1IRH?,Query active horizontal video resolution (in pixels),return Z1IRHxxxx,yes,
Z1IRV?,Query active vertical video resolution (in pixels/lines),return Z1IRVxxxx,yes,
Z1AIC?,"Query audio input channels: 0=no input, 1=other, 2=mono (center channel only), 3=2-channel, 4=5.1-channel, 5=6.1-channel, 6=7.1-channel, 7=Atmos",returns Z1AICx,yes,
Z1AIF?,"Query audio input format: 0=no input, 1=Analog, 2=PCM, 3=Dolby, 4= DSD, 5=DTS, 6=Atmos.
Not all models support all formats (ex: DSD).",Returns Z1AIFxx,yes,
Z1BRT?,Query audio input bit rate (kbps). For Analog/PCM inputs this is equal to the sample rate multiplied by the bit depth and the number of channels,"returns Z1BRTxxxx, 0=analog",yes,
Z1SRT?,Query audio input sampling rate (kHz),"returns Z1SRTxxx, 0=analog direct",yes,
Z1AIN?,Query the current audio input name (maximum of 16 characters returned),Returns Z1AINx. Ex: Current audio input format is DTS Master Audio. 'Z1AIN?' Returns 'Z1AINDTS Master Audio',yes,
Z1AIR?,Query the current audio input rate name (maximum of 16 characters returned).,"Returns Z1AIRx. For lossy input formats, returns the bit rate (ex 'Z1AIR384 kbps'). For lossless audio, analog audio, or PCM audio inputs it returns the sample rate (ex: Z1AIR48 kHz).",yes,
Z1ALMyy,"Audio Listening Mode: 00=None, 01=AnthemLogic-Movie, 02=AnthemLogic-Music, 03=PLIIx Movie, 04=PLIIx Music, 05=Neo:6 Cinema, 06=Neo:6 Music, 07=All Channel Stereo*, 08=All-Channel Mono*, 09=Mono*, 10=Mono-Academy*, 11=Mono(L)*, 12=Mono(R)*, 13=High Blend*, 14=Dolby Surround, 15=Neo:X-Cinema, 16=Neo:X-Music, na=cycle to next applicable, pa=cycle to previous applicable.  *Applicable to 2-channel source only. Some options are not available in all models or under all circumstances.",Z1ALM? returns Z1ALMyy,yes,
Z1WCU,"Dolby PLIIx Music center width up.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",,,
Z1WCD,"Dolby PLIIx Music center width down.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",,,
Z1WSTy,"Dolby PLIIx Music center width setting: y=0-7.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",Z1WST? returns Z1WSTy (y=0-7),yes,
Z1DIU,"Dolby PLIIx Music Dimension up.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",,,
Z1DID,"Dolby PLIIx Music Dimension down.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",,,
Z1DSTy,"Dolby PLIIx Music Dimension setting: y=0-6.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",Z1DST? returns Z1DSTy (y=0-6),yes,
Z1PSTy,"Dolby PLIIx Music Panorama. y=0 off, y=1 on.  Applicable only when PLIIx Music is selected for 2-channel source.
MRX 520 only",Z1PST? returns Z1PSTy (y=0-1),yes,
Z1DYNy,"Dolby Digital Dynamic Range (Dolby Digital 5.1 source): 0=Normal, 1=Reduced, 2=Late Night, n=cycle to next",Z1DYN? returns Z1DYNy (y=0-2),yes,
Z1DIA?,Query Dolby Digital dialog normalization,"returns DIAx where x is dB of normalization, n=not applicable",yes,
RxCTLy,"Trigger control. x=trigger # 0=trigger 1, 1=trigger 2, y=0 menu control, y=1 RS-232/IP",RxCTL? Returns RxCTLy,,
RxSETy,"Trigger set: x: 0=trigger 1, 1=trigger 2.  y: 0=off, 1=on. Only available if trigger control has been set to RS-232/IP for the specified trigger",RxSET? returns RxSETy,yes,
Simulated IR Command values for ZxSIMyyyy (use 0 to fill in blanks Ex: Key 1 = 0001),,,,
yyyy,Main Zone IR Key,,,
Z1SIM0000,Key 0,,,
Z1SIM0001,Key 1,,,
Z1SIM0002,Key 2,,,
Z1SIM0003,Key 3,,,
Z1SIM0004,Key 4,,,
Z1SIM0005,Key 5,,,
Z1SIM0006,Key 6,,,
Z1SIM0007,Key 7,,,
Z1SIM0008,Key 8,,,
Z1SIM0009,Key 9,,,
Z1SIM0010,Power On,,,
Z1SIM0011,Power Off,,,
Z1SIM0012,Setup,,,
Z1SIM0013,Input,,,
Z1SIM0014,Mode,,,
Z1SIM0015,Dim,,,
Z1SIM0016,Level,,,
Z1SIM0017,Info,,,
Z1SIM0018,Up,,,
Z1SIM0019,Down,,,
Z1SIM0020,Left,,,
Z1SIM0021,Right,,,
Z1SIM0022,Select,,,
Z1SIM0023,Page Up,,,
Z1SIM0024,Page Down,,,
Z1SIM0025,Volume Up,,,
Z1SIM0026,Volume Down,,,
Z1SIM0027,Mute Toggle,,,
Z1SIM0028,Last,,,
Z1SIM0029,Tone,,,
Z1SIM0030,Bass,,,
Z1SIM0031,Treble,,,
Z1SIM0032,Lip Sync,,,
Z1SIM0033,Balance,,,
Z1SIM0034,Dynamics,,,
Z1SIM0035,Clear,,,
Z1SIM0036,Preset,,,
Z2SIM0010,Zone 2 On,,,
Z2SIM0011,Zone 2 Off,,,
Z2SIM0013,Zone 2 Input,,,
Z2SIM0023,Zone 2 Next Preset,,,
Z2SIM0024,Zone 2 Previous Preset,,,
Z2SIM0025,Zone 2 Volume Up,,,
Z2SIM0026,Zone 2 Volume Down,,,
Z2SIM0027,Zone 2 Mute Toggle,,,
